시점,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2000,22151,4918,1758,1148,1164,592,608,456,-,4232,689,691,917,871,1014,1415,1411,268
2001,22511,4973,1747,1175,1195,610,636,464,-,4401,680,693,924,881,1014,1413,1434,272
2002,22982,5024,1780,1203,1226,631,666,483,-,4619,700,701,936,865,1010,1410,1448,279
2003,23043,5043,1688,1196,1225,625,664,487,-,4767,684,689,935,862,992,1394,1504,287
2004,23544,5159,1703,1220,1238,637,672,499,-,5013,695,701,966,853,973,1400,1529,288
2005,23718,5211,1705,1210,1247,650,667,499,-,5158,689,698,980,844,961,1389,1520,292
2006,24024,5255,1714,1193,1279,650,683,496,-,5307,696,703,1019,851,952,1398,1533,295
2007,24351,5299,1713,1186,1318,670,699,515,-,5434,695,718,1051,862,948,1388,1561,293
2008,24551,5284,1687,1178,1334,676,711,537,-,5585,701,735,1039,863,947,1390,1592,294
2009,24582,5218,1665,1194,1362,688,714,536,-,5621,710,745,1037,860,949,1391,1599,293
2010,24956,5308,1659,1212,1402,705,721,542,-,5786,701,760,1061,859,932,1410,1609,289
2011,25389,5395,1676,1215,1449,709,736,555,-,5901,707,778,1089,882,941,1411,1649,299
2012,25781,5371,1727,1250,1496,710,751,564,-,6055,725,776,1121,889,959,1432,1649,307
2013,26108,5355,1737,1246,1511,727,757,566,-,6200,723,800,1173,913,963,1448,1676,315
2014,26836,5449,1760,1275,1544,753,788,572,-,6488,743,848,1203,923,973,1485,1702,329
2015,27153,5391,1756,1291,1567,755,797,590,-,6653,765,862,1242,938,987,1478,1736,346
2016,27418,5372,1754,1301,1598,753,800,599,-,6767,771,867,1266,960,994,1490,1763,363
2017,27748,5396,1766,1291,1607,766,791,605,132,6953,811,880,1174,944,988,1488,1775,382
2018,27895,5335,1729,1282,1645,779,792,602,152,7058,812,898,1216,940,988,1488,1801,379
2019,28186,5319,1741,1266,1653,778,806,596,172,7226,841,908,1231,953,999,1488,1817,390
2020,28012,5293,1712,1232,1634,778,816,585,185,7193,827,919,1218,956,998,1478,1802,388
2021,28310,5312,1715,1265,1629,772,811,575,189,7422,840,920,1221,974,1008,1457,1805,395
2022,28922,5295,1730,1265,1670,772,813,584,201,7809,845,949,1255,992,1033,1499,1800,410
2023,29203,5319,1746,1286,1709,789,820,592,212,7860,865,961,1281,1008,1042,1501,1805,409
