시점,미곡생산량
1970,3939260
1971,3997635
1972,3957190
1973,4211630
1974,4444858
1975,4669098
1976,5214963
1977,6005610
1978,5797128
1979,5564808
1980,3550257
1981,5062975
1982,5175073
1983,5404045
1984,5681852
1985,5625874
1986,5607235
1987,5493343
1988,6053482
1989,5897936
1990,5605979
1991,5384388
1992,5330826
1993,4749562
1994,5059764
1995,4694956
1996,5322962
1997,5449561
1998,5096879
1999,5262700
2000,5290771
2001,5514796
2002,4926746
2003,4451135
2004,5000149
2005,4768368
2006,4679991
2007,4407743
2008,4843478
2009,4916080
2010,4295413
2011,4224019
2012,4006185
2013,4230011
2014,4240739
2015,4326915
2016,4196691
2017,3972468
2018,3868045
2019,3744450
2020,3506578
2021,3881601
2022,3763700
2023,3702239
