연도, 어업 총생산량,단순생산지수(2020),어업 생산량 증가율
1970,935462,25.2,
1971,1073733,28.9,12.9
1972,1343569,36.2,20.1
1973,1686485,45.4,20.3
1974,2026221,54.6,16.8
1975,2134979,57.5,5.1
1976,2406896,64.8,11.3
1977,2421273,65.2,0.6
1978,2353518,63.4,-2.9
1979,2422163,65.2,2.8
1980,2410346,64.9,-0.5
1981,2811914,75.7,14.3
1982,2644074,71.2,-6.3
1983,2793023,75.2,5.3
1984,2909811,78.4,4
1985,3102605,83.6,6.2
1986,3659724,98.6,15.2
1987,3331825,89.7,-9.8
1988,3209135,86.4,-3.8
1989,3319395,89.4,3.3
1990,3198234,86.1,-3.8
1991,2906131,78.3,-10.1
1992,3200852,86.2,9.2
1993,3335916,89.8,4
1994,3476605,93.6,4
1995,3348216,90.2,-3.8
1996,3247564,87.5,-3.1
1997,3243739,87.4,-0.1
1998,2835015,76.4,-14.4
1999,2910569,78.4,2.6
2000,2514225,67.7,-15.8
2001,2665124,71.8,5.7
2002,2476188,66.7,-7.6
2003,2487042,67,0.4
2004,2519101,67.8,1.3
2005,2714050,73.1,7.2
2006,3032116,81.7,10.5
2007,3274823,88.2,7.4
2008,3361255,90.5,2.6
2009,3182342,85.7,-5.6
2010,3110634,83.8,-2.3
2011,3255929,87.7,4.5
2012,3183424,85.7,-2.3
2013,3135250,84.4,-1.5
2014,3304228,89,5.1
2015,3337383,89.9,1
2016,3269432,88.1,-2.1
2017,3724711,100.3,12.2
2018,3770057,101.5,1.2
2019,3860969,104,2.4
2020,3712873,100,-4
2021,3832171,103.2,3.1
2022,3610461,97.2,-6.1
2023,3678417,99.1,1.8
