일시,울산강수량,울산평균기온,울산평균최고기온,울산평균최저기온
1945,894.3,-,-,-
1946,1252.2,13.3,18.9,8.8
1947,1082.7,11.8,17.5,7.3
1948,1640.2,13.3,18.8,8.9
1949,1049.5,12.9,18.4,8.4
1950,1157.6,13.2,18.9,8.7
1951,924.9,13.3,19.6,8.6
1952,993.8,12.9,18.8,8.2
1953,1115.2,13.2,19.2,8.9
1954,1563.7,13.3,18.5,9.4
1955,966.4,13.4,18.7,9
1956,1650.1,12.2,17.4,7.8
1957,1321,12.6,18,8.2
1958,1481.6,13.4,18.7,9.1
1959,1448.4,13.9,19.1,9.8
1960,994.9,13.8,19.1,9.4
1961,1625.5,14.1,19.1,9.7
1962,1091.6,13.3,19,8.5
1963,1526.8,12.4,17.7,8.1
1964,950.1,13.7,19,9.4
1965,1199.2,13,18.7,8
1966,1115.3,13.3,18.7,8.6
1967,1082.1,13.2,18.6,8.7
1968,939.7,13,18.6,8.5
1969,1936.5,12.8,18.2,8.5
1970,1813.9,12.9,18.1,8.8
1971,832.3,13.3,18.8,8.6
1972,1932.3,13.3,18.4,8.9
1973,956.9,13.8,19,9.1
1974,1383.3,12.9,18.1,8.2
1975,1306.5,13.8,18.5,9.8
1976,1027,12.9,18,8.5
1977,1024.9,13.6,18.7,9.3
1978,1147.1,14.4,19.8,9.6
1979,1396,14.1,19.4,9.3
1980,1536,12.7,17.9,8.2
1981,1064,13.1,18.6,8.3
1982,997.1,13.9,19.3,9.3
1983,1286.3,13.7,19,9.1
1984,1308.5,13.3,18.5,8.7
1985,1746.9,13.7,18.5,9.4
1986,1001.7,13.1,18.5,8.4
1987,1265.5,13.8,19.3,9.1
1988,1042.3,13.5,18.9,9
1989,1371.3,14.2,19.3,9.9
1990,1232.8,14.9,19.9,10.7
1991,2058.9,13.7,18.7,9.5
1992,1155.4,14.2,19.2,10
1993,1649.4,13.1,18.1,8.9
1994,921.4,14.8,20.3,10.2
1995,693,13.7,19.2,9.2
1996,1015,13.7,19,9.3
1997,1198.6,14.5,19.8,9.9
1998,1796,15.1,19.5,11.2
1999,1864.9,14.4,19,10.3
2000,1027.1,14.3,19.2,10.1
2001,869.1,14.6,19.4,10.5
2002,1559.8,14.4,19.3,10.2
2003,1864.2,14.3,19.1,10.3
2004,1250.1,15.2,20.5,10.7
2005,1135.7,14.3,19.4,10
2006,1393.9,14.6,19.6,10.4
2007,1135.8,15,19.9,10.8
2008,1112.3,14.2,19.3,10
2009,1133.2,14.3,19.5,10
2010,1161.6,14,19.2,9.7
2011,1233.2,13.7,18.8,9.4
2012,1458.1,13.7,18.7,9.6
2013,858.3,14.8,20.2,10.3
2014,1398.7,14.7,19.7,10.6
2015,1044.6,15,19.8,10.8
2016,1693.9,14.8,19.4,10.8
2017,671.4,14.5,19.4,10.1
2018,1416.1,14.3,19,10.2
2019,1450.1,14.9,19.7,10.7
2020,1557.9,14.6,19.3,10.6
2021,1337,14.9,19.6,10.8
2022,926.1,14.7,19.5,10.5
2023,1642.9,15,19.8,10.8
