시점,여름평균전기요금(원/kwh),겨울평균전기요금
1975,16.6,17.91
1976,18.66,20.32
1977,21.49,22.26
1978,21.38,22.89
1979,32.86,29.44
1980,50.93,49.71
1981,65.97,63.84
1982,70.39,71.16
1983,67.53,68.54
1984,68.35,67.52
1985,68.67,68
1986,65.74,66.67
1987,63.47,63.9
1988,59.62,59.98
1989,55.29,56.53
1990,54.18,53.2
1991,60.63,52.11
1992,65.14,54.98
1993,65.78,57.31
1994,67.88,57.19
1995,66.01,59.28
1996,66.43,62.66
1997,69.86,64.42
1998,76.7,70.85
1999,75.13,71.52
2000,80.24,73.21
2001,84.61,75.03
2002,80.44,72.07
2003,80.74,73.3
2004,81.33,72.52
2005,81.05,72.73
2006,81.05,72.73
2007,84.01,76.37
2008,84.29,80.33
2009,90.12,84.46
2010,91.92,87.44
2011,93.22,94.52
2012,103.24,104.13
2013,110.95,113.19
2014,120.85,117.33
2015,121.96,117.33
2016,122.69,116.68
2017,119.72,114.52
2018,118.32,114
2019,117.55,114.17
2020,118.87,114.9
2021,117.09,113.39
2022,129.18,123.46
2023,164.25,155.24
